Step,Difficulty,Estimated Skill,Uncertainty,Recent Win Rate,Error Rate,Reward,Method,Player Profile,Seed
1,0.0,0.15951367552931983,0.5,0.0,0.3657549647120118,-3.0015754964712005,PPO DDA,Unseen Low Skill,100
2,0.0,0.20353662419992186,0.5,0.5,0.17000000000000007,0.6220000000000001,PPO DDA,Unseen Low Skill,100
3,0.0,0.18587405660806544,0.5,0.3333333333333333,0.20213826412454372,-0.13356938196800974,PPO DDA,Unseen Low Skill,100
4,0.0,0.16539094811685565,0.5,0.25,0.05480000000000006,-0.6607199999999998,PPO DDA,Unseen Low Skill,100
5,0.0,0.1874507058993273,0.31848150021989,0.4,0.013840000000000068,0.25449992498900587,PPO DDA,Unseen Low Skill,100
6,0.0,0.2014939000144282,0.2968106470503364,0.5,0.0,0.6586058676474833,PPO DDA,Unseen Low Skill,100
7,0.0,0.209498455012264,0.27411767964548267,0.5714285714285714,0.0,0.8488063380585422,PPO DDA,Unseen Low Skill,100
8,0.049513574689626694,0.1780736867604244,0.354749227506132,0.5,0.0775867815678756,0.6522900994554911,PPO DDA,Unseen Low Skill,100
9,0.0,0.1851172891389118,0.2719306720949346,0.5555555555555556,0.0,0.8157383343508229,PPO DDA,Unseen Low Skill,100
10,0.0,0.18885342008211584,0.25740274408899805,0.6,0.0,0.9041286213575366,PPO DDA,Unseen Low Skill,100
11,0.18681810796260834,0.16052540706979845,0.3393756843193757,0.6,0.03463131240740329,0.8944963533751974,PPO DDA,Unseen Low Skill,100
12,0.0,0.16919261416141743,0.2738396645837144,0.6,0.0,0.9028926773867847,PPO DDA,Unseen Low Skill,100
13,0.0,0.1438137220372048,0.3295452813590265,0.6,0.0,0.900790464424825,PPO DDA,Unseen Low Skill,100
14,0.0,0.15129911534896087,0.2540800957869789,0.7,0.0,1.485110178004872,PPO DDA,Unseen Low Skill,100
15,0.39183205366134644,0.16810517095032657,0.28514897008567763,0.7,0.0,1.4718179231138855,PPO DDA,Unseen Low Skill,100
16,0.21681475639343262,0.18549457632254843,0.28709346932186486,0.7,0.0,1.4815063157191586,PPO DDA,Unseen Low Skill,100
17,0.28019919991493225,0.15946149860250433,0.3317259000117981,0.6,0.01326747206176428,0.8962403714005752,PPO DDA,Unseen Low Skill,100
18,0.0,0.1355422738121287,0.32467972357957,0.6,0.0,0.8972353149385509,PPO DDA,Unseen Low Skill,100
19,0.0,0.11521093274030939,0.31777113690606434,0.5,0.0364157367715116,0.6552453103715694,PPO DDA,Unseen Low Skill,100
20,0.0,0.13296823468360647,0.30919100647765696,0.5,0.0,0.6603608023913362,PPO DDA,Unseen Low Skill,100
21,0.0,0.1455541529645403,0.28690203521476393,0.6,0.0,0.9023111804114369,PPO DDA,Unseen Low Skill,100
22,0.0,0.12372103001985925,0.32277707648227016,0.5,0.0,0.6611861719136267,PPO DDA,Unseen Low Skill,100
23,0.0,0.13408281374630424,0.27948825336646776,0.6,0.0,0.9038856079218687,PPO DDA,Unseen Low Skill,100
24,0.0,0.1139703916843586,0.31704140687315213,0.5,0.0,0.6624359461284961,PPO DDA,Unseen Low Skill,100
25,0.0,0.12348359339853608,0.2817106723805916,0.5,0.0,0.6645448795586936,PPO DDA,Unseen Low Skill,100
26,0.0,0.13074806276222067,0.2742148978789487,0.5,0.0,0.6651935856482311,PPO DDA,Unseen Low Skill,100
27,0.0,0.1362654600466596,0.26334029855978086,0.6,0.0,0.9059564495057537,PPO DDA,Unseen Low Skill,100
28,0.25031211972236633,0.14793868999034926,0.2680395512267575,0.7,0.0,1.4772867661027733,PPO DDA,Unseen Low Skill,100
29,0.5386946201324463,0.17196403647986871,0.2800844882983982,0.8,0.009008518430161844,0.8861106186569495,PPO DDA,Unseen Low Skill,100
30,0.717082142829895,0.2069438839246333,0.3165994914825487,0.8,0.15460223865142472,0.8663868565847407,PPO DDA,Unseen Low Skill,100
31,0.46906962990760803,0.19458111301240827,0.27033802112187544,0.7,0.3578710945314192,1.4427581340268643,PPO DDA,Unseen Low Skill,100
32,0.0,0.22365769828854473,0.2969219509204549,0.8,0.0982500165036867,0.8829163999784241,PPO DDA,Unseen Low Skill,100
